job,cluster,buffered,group,threads,rdate,files,filesize,fileunit,mode,aggrb,bw,rw,bs,bsunit,ioengine,iodepth
fio-beegfs-read-buffered-block_512k-size_2G-threads_4,k8s,1,0,4,2018-11-19 11:03:14,4,2048.0,MB,read,2856,2856,rw,512,K,psync,1
fio-beegfs-write-unbuffered-block_128k-size_2G-threads_8,k8s,0,0,8,2018-11-24 11:25:21,4,2048.0,MB,write,380,380,rw,128,K,psync,1
fio-beegfs-read-unbuffered-block_64k-size_1G-threads_4,k8s,0,0,4,2018-11-23 18:37:11,4,1024.0,MB,read,350,350,rw,64,K,psync,1
fio-beegfs-write-unbuffered-block_1024k-size_4G-threads_4,k8s,0,0,4,2018-11-24 04:45:44,4,4096.0,MB,write,388,388,rw,1,M,psync,1
fio-beegfs-read-unbuffered-block_128k-size_2G-threads_4,k8s,0,0,4,2018-11-23 21:36:51,4,2048.0,MB,read,397,397,rw,128,K,psync,1
fio-beegfs-write-buffered-block_1024k-size_4G-threads_4,k8s,1,0,4,2018-11-19 17:48:58,4,4096.0,MB,write,455,455,rw,1,M,psync,1
fio-beegfs-read-unbuffered-block_1024k-size_2G-threads_2,k8s,0,0,2,2018-11-23 14:40:05,4,2048.0,MB,read,416,416,rw,1,M,psync,1
fio-beegfs-read-buffered-block_1024k-size_2G-threads_4,k8s,1,0,4,2018-11-19 11:42:46,4,2048.0,MB,read,2874,2874,rw,1,M,psync,1
fio-beegfs-write-buffered-block_16k-size_2G-threads_8,k8s,1,0,8,2018-11-19 22:17:52,4,2048.0,MB,write,456,456,rw,16,K,psync,1
fio-beegfs-read-buffered-block_128k-size_2G-threads_2,k8s,1,0,2,2018-11-19 02:21:43,4,2048.0,MB,read,1627,1627,rw,128,K,psync,1
fio-beegfs-read-buffered-block_1024k-size_2G-threads_1,k8s,1,0,1,2018-11-18 21:44:25,4,2048.0,MB,read,1092,1092,rw,1,M,psync,1
fio-beegfs-write-unbuffered-block_16k-size_4G-threads_4,k8s,0,0,4,2018-11-24 00:19:18,4,4096.0,MB,write,274,274,rw,16,K,psync,1
fio-beegfs-write-unbuffered-block_512k-size_2G-threads_4,k8s,0,0,4,2018-11-23 22:34:01,4,2048.0,MB,write,380,380,rw,512,K,psync,1
fio-beegfs-read-buffered-block_512k-size_1G-threads_1,k8s,1,0,1,2018-11-18 20:09:10,4,1024.0,MB,read,1093,1093,rw,512,K,psync,1
fio-beegfs-read-unbuffered-block_512k-size_4G-threads_1,k8s,0,0,1,2018-11-23 10:53:38,4,4096.0,MB,read,284,284,rw,512,K,psync,1
fio-beegfs-read-buffered-block_16k-size_4G-threads_8,k8s,1,0,8,2018-11-20 04:02:36,4,4096.0,MB,read,2232,2232,rw,16,K,psync,1
fio-beegfs-read-unbuffered-block_512k-size_1G-threads_1,k8s,0,0,1,2018-11-23 07:49:17,4,1024.0,MB,read,288,288,rw,512,K,psync,1
fio-beegfs-read-unbuffered-block_512k-size_1G-threads_8,k8s,0,0,8,2018-11-24 07:02:04,4,1024.0,MB,read,506,506,rw,512,K,psync,1
fio-beegfs-read-unbuffered-block_128k-size_4G-threads_1,k8s,0,0,1,2018-11-23 10:29:38,4,4096.0,MB,read,181,181,rw,128,K,psync,1
fio-beegfs-read-buffered-block_16k-size_1G-threads_4,k8s,1,0,4,2018-11-19 06:52:53,4,1024.0,MB,read,2452,2452,rw,16,K,psync,1
fio-beegfs-read-unbuffered-block_1024k-size_1G-threads_4,k8s,0,0,4,2018-11-23 19:48:01,4,1024.0,MB,read,481,481,rw,1,M,psync,1
fio-beegfs-write-buffered-block_128k-size_1G-threads_1,k8s,1,0,1,2018-11-18 20:02:38,4,1024.0,MB,write,626,626,rw,128,K,psync,1
fio-beegfs-read-unbuffered-block_1024k-size_4G-threads_8,k8s,0,0,8,2018-11-24 23:08:05,4,4096.0,MB,read,511,511,rw,1,M,psync,1
fio-beegfs-write-unbuffered-block_1024k-size_2G-threads_1,k8s,0,0,1,2018-11-23 09:30:00,4,2048.0,MB,write,331,331,rw,1,M,psync,1
fio-beegfs-write-unbuffered-block_64k-size_1G-threads_2,k8s,0,0,2,2018-11-23 12:02:42,4,1024.0,MB,write,318,318,rw,64,K,psync,1
fio-beegfs-write-buffered-block_512k-size_1G-threads_8,k8s,1,0,8,2018-11-19 20:27:44,4,1024.0,MB,write,458,458,rw,512,K,psync,1
fio-beegfs-write-buffered-block_128k-size_4G-threads_2,k8s,1,0,2,2018-11-19 05:20:31,4,4096.0,MB,write,450,450,rw,128,K,psync,1
fio-beegfs-write-unbuffered-block_512k-size_1G-threads_1,k8s,0,0,1,2018-11-23 07:55:28,4,1024.0,MB,write,332,332,rw,512,K,psync,1
fio-beegfs-read-buffered-block_1024k-size_2G-threads_2,k8s,1,0,2,2018-11-19 03:09:57,4,2048.0,MB,read,1848,1848,rw,1,M,psync,1
fio-beegfs-write-buffered-block_64k-size_4G-threads_4,k8s,1,0,4,2018-11-19 14:22:10,4,4096.0,MB,write,459,459,rw,64,K,psync,1
fio-beegfs-read-buffered-block_128k-size_1G-threads_4,k8s,1,0,4,2018-11-19 07:41:55,4,1024.0,MB,read,2650,2650,rw,128,K,psync,1
fio-beegfs-write-unbuffered-block_128k-size_4G-threads_4,k8s,0,0,4,2018-11-24 02:32:47,4,4096.0,MB,write,363,363,rw,128,K,psync,1
fio-beegfs-write-buffered-block_1024k-size_4G-threads_8,k8s,1,0,8,2018-11-20 13:51:07,4,4096.0,MB,write,452,452,rw,1,M,psync,1
fio-beegfs-write-unbuffered-block_1024k-size_1G-threads_4,k8s,0,0,4,2018-11-23 19:59:40,4,1024.0,MB,write,379,379,rw,1,M,psync,1
fio-beegfs-read-buffered-block_512k-size_2G-threads_1,k8s,1,0,1,2018-11-18 21:27:41,4,2048.0,MB,read,1091,1091,rw,512,K,psync,1
fio-beegfs-read-unbuffered-block_16k-size_1G-threads_2,k8s,0,0,2,2018-11-23 11:38:25,4,1024.0,MB,read,93,93,rw,16,K,psync,1
